ID;Distrito;Cidade/confirmada/UPA - SÓ TEM SP, NAO PODERÍAMOS TIRAR?;Relacao com UPA;Reside/UPA;Area/total hectares;Soma/area/total/propriedades/HA;Area/cultivada/inform/HA;Area/pastagem/HA;Area/veget/inform/HA;Comercializ/folhosas/hortalicas;Comercializ/raizes;Comercializ/frutas;Comercializ/legumes/graos;Comercializ/ornamentais;Comercializ/ervas/medicinais;Comercializ/mudas;Comercializ/outros;Culturas comercializadas;Especies/animais/produzidas;Comercializ/bovinos/corte;Comercializ/bovinos/leite;Comercializ/galinhas/frangos;Comercializ/patos;Comercializ/suinos;Comercializ/caprinos/corte/leite;Comercializ/cavalos;Comercializ/ovos;Comercializ/abelhas/mel;Comercializ/peixes;Comercializ/outras/especies/criadas;Comercializ/cliente/final;Comercializ/interm;Comercializ/quitandas/minimercados;Comercializ/restaur;Comercializ/supermerc;Comercializ/feiras;Comercializ/com/entrega;Comercializ/eventos;Comercializ/CEAGESP;Comercializ/entidades/sociais;Comercializ/poder/publico;Frequencia comercializacao via propriedade;Frequencia comercializacao via intermediario;Frequencia comercializacao via quitandas minimercados;Frequencia comercializacao via restaurantes;Frequencia comercializacao via supermercados;Frequencia comercializacao via feiras livres;Frequencia comercializacao via entrega;Frequencia comercializacao via eventos;Frequencia comercializacao via CEAGESP;Frequencia comercializacao via entidades sociais;Frequencia comercializacao via poder publico;Comercializ/regiao;Comercializ/outras/regioes/cid;Comercializ/outra/cid/15km;Comercializ/outra/cid;Transp/prop/distrib/prod;Embal/distrib/prod;Controle de pragas;Sexo;Faixa/etaria;Grau/instru;Renda/familiar/mensal;Faixa Renda média;Internet/freq;Possui/celular;Dificuldades/prod/classificacao1 - DIFICULDADES NO DIA A DIA PARA A PRODUÇÃO;Melhor/condicoes/trab/rendimento/classificacão1 - O QUE PRECISA PARA MELHORAR SUAS CONDIÇÕES DE TRABALHO
103;Parelheiros;Sao Paulo;Proprietario;Sim;4,5;Nao se aplica;0,7;Nao tem;0,1;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao se aplica;Folhosas, hortalicas, raizes, frutas, legumes e graos;Galinha, ovos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Sim;Nao;Nao;Sim;Sim;Nao;Nao;Nao;Uma vez a cada 6 meses;Uma vez a cada 6 meses;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Uma vez a cada 6 meses;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Sim;Nao;Sim;Sim;Nao realiza;Masculino;25 a 34 anos;Ensino Superior Incompleto;3996,5;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Faltam recursos financeiros;Mais maquinarios agricolas, caminhao e trator
104;Grajau;Sao Paulo;Proprietario;Sim;0,5;Nao se aplica;0,5;1;0,08;Nao;Nao;Nao;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Nao comercializa;Galinha, ovos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Sim;Nao;Naturais/organicos;Masculino;35 a 44 anos;Ensino Medio Completo;Nao sabe/Nao respondeu;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Outros (seguranca, terra e ruim, precos baixos dos produtos agricolas, pragas (formigas), falta espaco para crescer, rigor da legislacao ambiental;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
105;Parelheiros;Sao Paulo;Funcionario;Sim;Nao sabe;Nao se aplica;0,06;Nao respondeu;Nao respondeu;Sim;Nao;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Folhosas, hortalicas;Galinha, cavalos, ovos, gansos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Feminino;35 a 44 anos;Fundamental I Completo;1497;1497;Todos os dias ou quase todos os dias;Nao;Agua (falta ou excesso)/ Questoes climaticas;Mais maquinarios agricolas, caminhao e trator
106;Parelheiros;Sao Paulo;Proprietario;Sim;0,55;Nao se aplica;0,17;Nao tem;Nao tem;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Feminino;45 a 59 anos;Ensino Superior Completo ou mais;7485;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Faltam recursos financeiros;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
107;Parelheiros;Sao Paulo;Proprietario;Sim;24;0;0,1;Nao tem;Nao tem;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, suinos, ovos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Menos de duas vezes por ano;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Feminino;45 a 59 anos;Fundamental I Completo;2495;Nao se aplica;Pelo menos uma vez por semana;Sim;Dificil o sustento com renda da agricultura;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
108;Marsilac;Sao Paulo;Proprietario;Sim;1,03;Nao se aplica;0,35;Nao tem;Nao tem;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao se aplica;Folhosas, hortalicas, ervas medicinais, mudas;Galinha;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Sim;Nao;Sim;Sim;Naturais/organicos;Feminino;35 a 44 anos;Ensino Medio Completo;Nao sabe/Nao respondeu;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de tempo, falta de coragem/ vontade;Outros (incentivo e divulgacao de turismo rural, analise do solo, cessao de terras para o plantio, mais organizacao da cooperativa, combate as pragas, mais terra)
109;Parelheiros;Sao Paulo;Proprietario;Sim;0,9;Nao se aplica;0,5;Nao tem;0,006;Sim;Sim;Nao;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Folhosas, hortalicas, raizes;Galinha, patos, ovos, peixes;Nao se aplica;Nao se aplica;Sim;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Sim;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Sim;Nao;Nao realiza;Feminino;35 a 44 anos;Ensino Medio Completo;3996,5;998;Todos os dias ou quase todos os dias;Sim;Aquisicao de adubo, mudas e sementes, maquinario agricola, equipamentos de irrigacao;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
110;Grajau;Sao Paulo;Proprietario;Sim;Nao sabe;Nao se aplica;0,015;Nao tem;Nao tem;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Feminino;45 a 59 anos;Ensino Medio Incompleto;3996,5;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Nao possui dificuldades/ Nao sabe/Nao respondeu;Nao sabe/Nao respondeu/ Nao possui demandas
111;Grajau;Sao Paulo;Posseiro;Sim;2;Nao se aplica;0,01;Nao tem;Nao tem;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Frutas;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Masculino;45 a 59 anos;Ensino Medio Completo;3996,5;998;Todos os dias ou quase todos os dias;Sim;Falta de mao de obra;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
112;Grajau;Sao Paulo;Funcionario;Sim;23;Nao se aplica;Nao respondeu;0;Nao respondeu;Sim;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Folhosas, hortalicas;Galinha, patos, suinos, caprinos, ovos, peixes, pavao, codorna;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao se aplica;Sim;Nao se aplica;Nao;Nao;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Nao;Sim;Sim;Nao realiza;Masculino;16 a 24 anos;Ensino Medio Completo;1497;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Nao possui dificuldades/ Nao sabe/Nao respondeu;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
113;Grajau;Sao Paulo;Proprietario;Sim;0,67;Nao se aplica;0,1;Nao tem;0,1;Nao;Nao;Sim;Nao se aplica;Sim;Nao;Nao se aplica;Nao se aplica;Frutas, ornamentais ;Galinha, patos, ovos;Nao se aplica;Nao se aplica;Sim;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Nao;Nao;Nao;Agroquimicos;Feminino;45 a 59 anos;Fundamental I Completo;2495;998;Pelo menos uma vez por semana;Sim;Problemas com infraestrutura, logistica de escoamento da producao;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
114;Grajau;Sao Paulo;Proprietario;Sim;Nao sabe;Nao se aplica;Nao tem;Nao respondeu;Nao tem;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Feminino;35 a 44 anos;Ate Fundamental I Incompleto;998;Nao se aplica;Pelo menos uma vez por semana;Nao;Aquisicao de adubo, mudas e sementes, maquinario agricola, equipamentos de irrigacao;Mais maquinarios agricolas, caminhao e trator
115;Marsilac;Sao Paulo;Proprietario;Sim;0,75;Nao se aplica;0,5;Nao tem;Nao tem;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, ovos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Naturais/organicos;Feminino;45 a 59 anos;Ate Fundamental I Incompleto;1497;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Agua (falta ou excesso)/ Questoes climaticas;Infraestrutura viaria, energia, telefonia, melhoria das estradas, escoamento da producao
116;Grajau;Sao Paulo;Proprietario;Sim;Nao sabe;Nao sabe;Nao respondeu;Nao respondeu;Nao respondeu;Nao;Nao se aplica;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Utiliza, mas nao especificou;Feminino;60 anos ou mais;Ate Fundamental I Incompleto;998;Nao se aplica;Nao sabe/Nao respondeu;Sim;Nao possui dificuldades/ Nao sabe/Nao respondeu;Nao sabe/Nao respondeu/ Nao possui demandas
117;Marsilac;Sao Paulo;Proprietario;Nao;10;Nao se aplica;Nao tem;6;1,5;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Bovino de corte, galinha, suinos, cavalos, ovos, peixes;Nao;Nao se aplica;Nao;Nao se aplica;Sim;Nao se aplica;Nao;Nao;Nao se aplica;Nao;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Fundamental II Incompleto;Nao sabe/Nao respondeu;Nao se aplica;Nao sabe/Nao respondeu;Sim;Outros (seguranca, terra e ruim, precos baixos dos produtos agricolas, pragas (formigas), falta espaco para crescer, rigor da legislacao ambiental;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
118;Grajau;Sao Paulo;Proprietario;Sim;0,013;Nao se aplica;0,009;Nao tem;Nao tem;Nao se aplica;Nao;Nao se aplica;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;25 a 34 anos;Ensino Medio Completo;3996,5;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Outros (seguranca, terra e ruim, precos baixos dos produtos agricolas, pragas (formigas), falta espaco para crescer, rigor da legislacao ambiental;Cursos e capacitacoes, escola de agricultura
119;Grajau;Sao Paulo;Proprietario;Sim;7;14;7,2;2;0;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao se aplica;Folhosas, hortalicas, raizes, frutas, legumes e graos, ornamentais, ervas medicinais;Bovino de leite, galinha, patos, suinos, ovos, abelha e mel, peixes;Nao se aplica;Nao;Sim;Sim;Nao;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao se aplica;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Nao;Nao;Sim;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Pelo menos uma vez por mes;Pelo menos uma vez por mes;Nao se aplica;Pelo menos uma vez por mes;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Sim;Sim;Sim;Nao;Sim;Sim;Nao realiza;Masculino;45 a 59 anos;Ensino Superior Incompleto;1497;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Faltam recursos financeiros;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
120;Grajau;Sao Paulo;Proprietario;Sim;0,1;Nao se aplica;0,06;Nao tem;Nao tem;Nao;Nao;Sim;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Frutas;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Agroquimicos;Masculino;45 a 59 anos;Ate Fundamental I Incompleto;3996,5;998;Nao sabe/Nao respondeu;Sim;Falta de tempo, falta de coragem/ vontade;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
121;Grajau;Sao Paulo;Arrendatario;Sim;7,2;Nao se aplica;2;Nao tem;Nao respondeu;Sim;Nao;Sim;Sim;Nao se aplica;Nao;Nao se aplica;Nao;Folhosas, hortalicas, frutas, legumes e graos;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Sim;Nao;Nao realiza;Masculino;45 a 59 anos;Ate Fundamental I Incompleto;2495;Nao se aplica;Pelo menos uma vez por mes;Sim;Faltam recursos financeiros;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
122;Parelheiros;Sao Paulo;Proprietario;Sim;Nao sabe;Nao se aplica;Nao respondeu;Nao tem;Nao tem;Nao;Nao se aplica;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, patos, ovos, peixes, minhocas;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Nao;Nao;Nao;Nao realiza;Feminino;25 a 34 anos;Ate Fundamental I Incompleto;7485;Nao se aplica;Todos os dias ou quase todos os dias;Nao;Nao possui dificuldades/ Nao sabe/Nao respondeu;Maior e melhor rendimento das atividades na propriedade
123;Grajau;Sao Paulo;Arrendatario;Sim;7;14;0,02;7;Nao respondeu;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Bovino de corte, bovino de leite, suinos, caprinos, cavalos;Sim;Sim;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Menos de duas vezes por ano;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Sim;Faltam recursos financeiros;Cursos e capacitacoes, escola de agricultura
124;Parelheiros;Sao Paulo;Proprietario;Sim;1;Nao se aplica;0,4;Nao tem;Nao tem;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Ornamentais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Menos de duas vezes por ano;Menos de duas vezes por ano;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Sim;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;998;998;Nao sabe/Nao respondeu;Sim;Dificil o sustento com renda da agricultura;Mais maquinarios agricolas, caminhao e trator
125;Parelheiros;Sao Paulo;Comodatario;Sim;2;Nao se aplica;1;Nao tem;Nao tem;Sim;Sim;Sim;Sim;Nao se aplica;Sim;Nao;Nao se aplica;Folhosas, hortalicas, raizes, frutas, legumes e graos, ervas medicinais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Mais ou menos uma vez a cada tres meses;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Nao;Sim;Sim;Nao realiza;Masculino;35 a 44 anos;Ensino Medio Completo;7485;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de Assistencia Tecnica;Mao de obra, mais produtividades
